,sigma,force,rmodav,rmodsqd,dmax
,0.080,1.300,0.9999440,0.0000000,0.0000000
,0.080,1.320,0.9999443,0.0000000,0.0000000
,0.080,1.340,0.9999445,0.0000000,0.0000000
,0.080,1.360,0.9999448,0.0000000,0.0000000
,0.080,1.380,0.9999450,0.0000000,0.0000000
,0.080,1.400,0.9999452,0.0000000,0.0000000
,0.080,1.420,0.9999455,0.0000000,0.0000000
,0.080,1.440,0.9999457,0.0000000,0.0000000
,0.080,1.460,0.9999459,0.0000000,0.0000000
,0.080,1.480,0.9999462,0.0000000,0.0000000
,0.080,1.500,0.9999464,0.0000000,0.0000000
,0.080,1.520,0.9999466,0.0000000,0.0000000
,0.080,1.540,0.9999468,0.0000000,0.0000000
,0.080,1.560,0.9999471,0.0000000,0.0000000
,0.080,1.580,0.9999473,0.0000000,0.0000000
,0.080,1.600,0.9999475,0.0000000,0.0000000
,0.080,1.620,0.9999477,0.0000000,0.0000000
,0.080,1.640,0.9999479,0.0000000,0.0000000
,0.080,1.660,0.9999481,0.0000000,0.0000000
,0.080,1.680,0.9999484,0.0000000,0.0000000
,0.080,1.700,0.9999486,0.0000000,0.0000000
,0.080,1.720,0.9999488,0.0000000,0.0000000
,0.080,1.740,0.9999490,0.0000000,0.0000000
,0.080,1.760,0.9999492,0.0000000,0.0000000
,0.080,1.780,0.9999494,0.0000000,0.0000000
,0.080,1.800,0.9999496,0.0000000,0.0000000
,0.080,1.820,0.9999498,0.0000000,0.0000000
,0.080,1.840,0.9999500,0.0000000,0.0000000
,0.080,1.860,0.9999502,0.0000000,0.0000000
,0.080,1.880,0.9999504,0.0000000,0.0000000
,0.080,1.900,0.9999506,0.0000000,0.0000000
,0.080,1.920,0.9999508,0.0000000,0.0000000
,0.080,1.940,0.9999510,0.0000000,0.0000000
,0.080,1.960,0.9999512,0.0000000,0.0000000
,0.080,1.980,0.9999514,0.0000000,0.0000000
,0.080,2.000,0.9999516,0.0000000,0.0000000
,0.100,0.000,0.0013449,2.0298434,0.0012176
,0.100,0.020,0.0141511,0.0702390,0.0011043
,0.100,0.040,0.0289779,0.0691529,0.0023032
,0.100,0.060,0.0456823,0.0568576,0.0024197
,0.100,0.080,0.0638674,0.0716050,0.0052643
,0.100,0.100,0.0851889,0.0672312,0.0068382
,0.100,0.120,0.1172825,0.0486716,0.0080945
,0.100,0.140,0.1628520,0.1268214,0.0194882
,0.100,0.160,0.9999267,0.0000000,0.0000000
